Cocoa,Coffee,Cotton,Orange Juice,Lumber,Sugar
830.0,116.5,51.06999969482422,,,
836.0,116.25,50.72999954223633,,,
831.0,118.5999984741211,51.560001373291016,,,
841.0,116.8499984741211,52.08000183105469,,,
853.0,114.1500015258789,53.959999084472656,,,
839.0,117.5500030517578,53.560001373291016,,,
846.0,117.8000030517578,54.18000030517578,,,
854.0,118.9499969482422,53.720001220703125,,,
871.0,118.5500030517578,54.75,,,
850.0,112.5500030517578,55.119998931884766,,,
828.0,115.75,54.7599983215332,,,
844.0,116.6999969482422,57.75,,,
853.0,112.0,57.43999862670898,,,
861.0,111.1999969482422,56.150001525878906,,,
844.0,111.9000015258789,56.34999847412109,,,
838.0,112.8499984741211,57.86000061035156,,,
846.0,115.1500015258789,57.41999816894531,,,
823.0,114.5999984741211,57.52999877929688,,,
811.0,114.6999969482422,57.45000076293945,,,
795.0,111.0999984741211,57.86000061035156,,,
763.0,111.6500015258789,57.130001068115234,,,
766.0,112.25,57.040000915527344,,,
774.0,112.9499969482422,56.09000015258789,,,
765.0,112.9000015258789,56.08000183105469,,,
783.0,111.6999969482422,56.18000030517578,,,
767.0,108.5500030517578,55.29999923706055,,,
784.0,107.6999969482422,55.79999923706055,,,
776.0,108.75,57.540000915527344,,,
759.0,108.8000030517578,56.970001220703125,,,
740.0,105.0,57.2599983215332,,,
748.0,105.8000030517578,55.7400016784668,,,
764.0,104.9499969482422,55.400001525878906,,,
781.0,105.3499984741211,55.470001220703125,,,
780.0,104.3000030517578,57.09000015258789,,,
760.0,103.1999969482422,58.79999923706055,,,
769.0,103.5999984741211,58.41999816894531,,,
767.0,101.75,58.150001525878906,,,
734.0,98.8000030517578,56.880001068115234,,,
740.0,101.6500015258789,57.58000183105469,,,
753.0,99.9000015258789,56.59999847412109,,,
759.0,101.1500015258789,59.5,,,5.079999923706055
791.0,105.0999984741211,58.650001525878906,,,4.960000038146973
805.0,104.3499984741211,59.04999923706055,,,5.050000190734863
802.0,106.3000030517578,59.400001525878906,,,5.039999961853027
819.0,108.4000015258789,59.650001525878906,,,5.070000171661377
829.0,107.4000015258789,60.5,,,5.119999885559082
819.0,107.1999969482422,61.0099983215332,,,5.159999847412109
840.0,106.0999984741211,63.59999847412109,,,5.21999979019165
860.0,106.0,63.209999084472656,,,5.420000076293945
880.0,102.5500030517578,63.36000061035156,,,5.28000020980835
846.0,103.0,63.220001220703125,,,5.25
878.0,106.3499984741211,62.540000915527344,,,5.340000152587891
898.0,106.0999984741211,62.68999862670898,,,5.269999980926514
857.0,103.0999984741211,61.13999938964844,,,5.130000114440918
868.0,103.75,61.380001068115234,,,5.199999809265137
871.0,105.8000030517578,59.86000061035156,,,5.25
876.0,102.0999984741211,59.040000915527344,,,5.449999809265137
840.0,103.1500015258789,58.810001373291016,,,5.380000114440918
797.0,103.1500015258789,59.209999084472656,,,5.46999979019165
815.0,104.5,59.150001525878906,,,5.409999847412109
796.0,103.9000015258789,57.95000076293945,,,5.420000076293945
794.0,103.5,57.56999969482422,,,5.550000190734863
800.0,103.6999969482422,58.13999938964844,,,5.900000095367432
784.0,102.0999984741211,58.38999938964844,,,5.909999847412109
809.0,100.0999984741211,57.209999084472656,,,5.809999942779541
811.0,101.8000030517578,56.400001525878906,,,6.019999980926514
825.0,100.8499984741211,55.68000030517578,,,5.960000038146973
810.0,99.5999984741211,56.290000915527344,,,5.889999866485596
807.0,96.6500015258789,55.9900016784668,,,5.860000133514404
803.0,96.5500030517578,54.95000076293945,,,5.96999979019165
802.0,94.1999969482422,55.75,,,6.03000020980835
815.0,94.6999969482422,56.81999969482422,,,6.159999847412109
807.0,92.6500015258789,56.43000030517578,,,6.230000019073486
824.0,92.8000030517578,56.91999816894531,,,6.449999809265137
837.0,94.0500030517578,57.29999923706055,,,6.349999904632568
813.0,95.6999969482422,56.619998931884766,,,6.409999847412109
803.0,97.75,56.41999816894531,,,6.440000057220459
764.0,94.25,56.720001220703125,,,6.369999885559082
769.0,95.5999984741211,56.29999923706055,,,6.360000133514404
765.0,94.75,56.59999847412109,,,6.269999980926514
755.0,94.8499984741211,56.45000076293945,,,6.179999828338623
747.0,95.3000030517578,55.709999084472656,,,5.159999847412109
764.0,100.3000030517578,56.29999923706055,,,6.53000020980835
763.0,99.0999984741211,57.75,,,6.400000095367432
772.0,94.4499969482422,56.95000076293945,,,6.400000095367432
772.0,96.8499984741211,56.79999923706055,,,6.53000020980835
771.0,96.8499984741211,58.400001525878906,,,6.590000152587891
748.0,97.1500015258789,58.060001373291016,,,6.449999809265137
769.0,97.4499969482422,59.65999984741211,,,6.5
765.0,97.25,61.2400016784668,,,6.5
796.0,95.9000015258789,60.79999923706055,,,6.630000114440918
778.0,91.8000030517578,62.22999954223633,,,6.78000020980835
783.0,91.25,62.75,,,6.949999809265137
837.0,92.25,62.619998931884766,,,7.130000114440918
821.0,91.8000030517578,62.06999969482422,,,7.059999942779541
829.0,91.5,62.119998931884766,,,7.070000171661377
857.0,97.9499969482422,61.29999923706055,,,7.210000038146973
840.0,103.3000030517578,63.43999862670898,,,7.420000076293945
834.0,103.6999969482422,63.41999816894531,,,7.449999809265137
850.0,101.8499984741211,62.72999954223633,,,7.559999942779541
831.0,99.25,63.27999877929688,,,7.760000228881836
835.0,99.1999969482422,63.220001220703125,,,7.809999942779541
830.0,100.4000015258789,61.0099983215332,,,7.699999809265137
842.0,93.0,62.63999938964844,,,7.550000190734863
848.0,94.4499969482422,60.25,,,7.789999961853027
848.0,95.5500030517578,58.9900016784668,,,8.140000343322754
